code,ipo_amount
600650,416000000.0
600655,428000000.0
600657,13200000.0
600658,20000000.0
600660,17394600.0
600662,20520000.0
600663,42000000.0
600664,65000000.0
600665,250068000.0
600674,38800000.0
600675,128500000.0
600676,58900000.0
600681,67700000.0
600688,1650000000.0
600690,369000000.0
600694,150000000.0
600703,145200000.0
600704,173040000.0
600708,152680000.0
600717,26070000.0
600718,100200000.0
600720,94390200.0
600724,73030000.0
600729,117000000.0
600736,115500000.0
600737,94850000.0
600738,91150000.0
600739,94560000.0
600741,122496000.0
600742,122140000.0
600743,117420000.0
600750,157289200.0
600754,88350000.0
600755,102300000.0
600761,141425000.0
600776,415120000.0
600779,120498000.0
600782,99000000.0
600790,190322700.0
600795,17920000.0
600798,252150000.0
600801,230764880.0
600803,99000000.0
600808,2312944500.0
600809,367395000.0
600816,75000000.0
600819,200755720.0
600820,96700000.0
600827,76747000.0
600828,118382356.0
600829,126000000.0
600835,146060000.0
600845,86242000.0
600859,391720280.0
600863,188600000.0
600864,108750000.0
600867,114300000.0
600873,102000000.0
600874,160450000.0
600875,236400000.0
600881,12701500.0
600884,136240000.0
600885,68000000.0
600886,20000000.0
600887,96897500.0
600893,297440000.0
600894,149113200.0
600895,147600000.0
600897,231250000.0
600900,9826556560.0
600970,416364548.0
600971,414934600.0
600981,337010000.0
600985,189920000.0
600987,584288950.0
600997,1013015000.0
600999,10883361131.0
601001,1829061992.0
601003,1040184547.0
601006,14734210323.0
601009,6713572916.0
601088,65988000000.0
601107,1741003813.0
601111,4513196000.0
601117,6562643300.0
601139,866011700.0
601155,5284975924.0
601166,15721959210.0
601168,6052285949.0
601169,14685113048.0
601186,21725662713.0
601238,2533583818.0
601318,38221924360.0
601328,24749571275.0
601333,10083877220.0
601360,633965459.0
601390,21934283607.0
601398,45579000000.0
601588,3516342000.0
601598,6967799090.0
601600,8162429477.0
601601,29031503908.0
601607,66147700.00000001
601618,18358972400.0
601628,27809931371.0
601666,2948915628.0
601668,49219616191.99999
601699,1924120000.0
601727,2944663576.0
601766,6369410645.0
601788,10710136000.0
601808,6598755426.0
601857,66243292224.0
601866,15221863600.000002
601872,4353324224.0
601888,2497201894.0
601898,25320000000.0
601899,9806960200.0
601918,2021132658.0
601919,14881145117.0
601939,57118290000.0
601958,8724270000.0
601988,19451462387.0
