code,name,div_per_10,total_shares,ex_date,amount
600166,福田汽车,1.4,280466000.0,2001-06-22,39265239.99999999
600010,包钢股份,1.0,1250000000.0,2001-06-22,125000000.0
000615,*ST美谷,0.8,154908460.0,2001-06-25,12392676.8
000890,法尔胜,1.0,224640000.0,2001-06-22,22464000.0
000401,金隅冀东,1.4,881785550.0,2001-06-25,123449976.99999999
600078,澄星股份,1.0,180061968.0,2001-06-22,18006196.8
600716,凤凰股份,1.0,324000000.0,2001-06-22,32400000.0
600215,派斯林,1.0,306000000.0,2001-06-22,30600000.0
000717,中南股份,2.0,447200000.0,2001-06-22,89440000.0
000898,鞍钢股份,0.9,2944071520.0,2001-06-22,264966436.79999998
600776,东方通信,3.0,628000000.0,2001-06-22,188400000.0
600816,建元信托,0.75,349315214.0,2001-06-25,26198641.05
600188,兖矿能源,0.82,2870000000.0,2001-06-25,235339999.99999997
600626,申达股份,0.9,338210865.0,2001-06-25,30438977.849999998
000417,合百集团,1.5,84241350.0,2001-06-26,12636202.5
000012,南玻A,1.2,676975416.0,2001-06-26,81237049.92
000062,深圳华强,1.0,270399998.0,2001-06-26,27039999.8
600332,白云山,0.3,810900000.0,2001-06-25,24327000.0
000629,钒钛股份,2.0,1023300145.0,2001-06-26,204660029.0
600280,中央商场,0.6,121260873.0,2001-06-26,7275652.38
600883,博闻科技,0.4,102000000.0,2001-06-26,4080000.0
600642,申能股份,4.5,1633087769.0,2001-06-26,734889496.0500001
000910,大亚圣象,1.0,231250000.0,2001-06-27,23125000.0
600169,ST太重,0.3,372172425.0,2001-06-26,11165172.75
600889,*ST京化,0.5,161547393.0,2001-06-26,8077369.65
600867,通化东宝,1.0,324493036.0,2001-06-25,32449303.6
600051,宁波联合,1.1,302400000.0,2001-06-28,33264000.000000004
600637,东方明珠,1.0,745284077.0,2001-06-26,74528407.7
000797,中国武夷,2.0,389452440.0,2001-06-27,77890488.0
600728,佳都科技,1.0,208180180.0,2001-06-26,20818018.0
000682,东方电子,2.0,917951996.0,2001-06-27,183590399.20000002
000802,北京文化,0.8,116250000.0,2001-06-28,9300000.0
600861,北京人力,0.8,405738946.0,2001-06-27,32459115.68
600172,黄河旋风,1.0,268000000.0,2001-06-29,26800000.0
000957,中通客车,1.0,238504950.0,2001-06-27,23850495.0
000767,晋控电力,1.6,435000000.0,2001-06-26,69600000.0
600231,凌钢股份,1.5,310000000.0,2001-06-27,46500000.0
000061,农产品,2.0,184857643.0,2001-06-26,36971528.6
