date,nav,daily_ret,acc_nav
2022-08-17,1.541,0.26,1.541
2022-08-18,1.535,-0.39,1.535
2022-08-19,1.526,-0.59,1.526
2022-08-22,1.534,0.52,1.534
2022-08-23,1.534,0.0,1.534
2022-08-24,1.507,-1.76,1.507
2022-08-25,1.52,0.86,1.52
2022-08-26,1.516,-0.26,1.516
2022-08-29,1.516,0.0,1.516
2022-08-30,1.51,-0.4,1.51
2022-08-31,1.499,-0.73,1.499
2022-09-01,1.493,-0.4,1.493
2022-09-02,1.493,0.0,1.493
2022-09-05,1.501,0.54,1.501
2022-09-06,1.518,1.13,1.518
2022-09-07,1.517,-0.07,1.517
2022-09-08,1.511,-0.4,1.511
2022-09-09,1.524,0.86,1.524
2022-09-13,1.524,0.0,1.524
2022-09-14,1.514,-0.66,1.514
2022-09-15,1.499,-0.99,1.499
2022-09-16,1.464,-2.33,1.464
2022-09-19,1.461,-0.2,1.461
2022-09-20,1.463,0.14,1.463
2022-09-21,1.461,-0.14,1.461
2022-09-22,1.456,-0.34,1.456
2022-09-23,1.45,-0.41,1.45
2022-09-26,1.432,-1.24,1.432
2022-09-27,1.45,1.26,1.45
2022-09-28,1.43,-1.38,1.43
2022-09-29,1.43,0.0,1.43
2022-09-30,1.426,-0.28,1.426
2022-10-10,1.403,-1.61,1.403
2022-10-11,1.406,0.21,1.406
2022-10-12,1.425,1.35,1.425
2022-10-13,1.419,-0.42,1.419
2022-10-14,1.445,1.83,1.445
2022-10-17,1.448,0.21,1.448
2022-10-18,1.445,-0.21,1.445
2022-10-19,1.428,-1.18,1.428
2022-10-20,1.423,-0.35,1.423
2022-10-21,1.426,0.21,1.426
2022-10-24,1.396,-2.1,1.396
2022-10-25,1.398,0.14,1.398
2022-10-26,1.407,0.64,1.407
2022-10-27,1.401,-0.43,1.401
2022-10-28,1.37,-2.21,1.37
2022-10-31,1.36,-0.73,1.36
2022-11-01,1.394,2.5,1.394
2022-11-02,1.406,0.86,1.406
2022-11-03,1.401,-0.36,1.401
2022-11-04,1.433,2.28,1.433
2022-11-07,1.437,0.28,1.437
2022-11-08,1.43,-0.49,1.43
2022-11-09,1.423,-0.49,1.423
2022-11-10,1.419,-0.28,1.419
2022-11-11,1.443,1.69,1.443
2022-11-14,1.443,0.0,1.443
2022-11-15,1.465,1.52,1.465
2022-11-16,1.457,-0.55,1.457
2022-11-17,1.455,-0.14,1.455
2022-11-18,1.446,-0.62,1.446
2022-11-21,1.439,-0.48,1.439
2022-11-22,1.442,0.21,1.442
2022-11-23,1.446,0.28,1.446
2022-11-24,1.443,-0.21,1.443
2022-11-25,1.449,0.42,1.449
2022-11-28,1.44,-0.62,1.44
2022-11-29,1.475,2.43,1.475
2022-11-30,1.475,0.0,1.475
2022-12-01,1.48,0.34,1.48
2022-12-02,1.475,-0.34,1.475
